time,latitude,longitude,altitude
2024-03-31 05:56:54.213000+00:00,14.57595167,121.04680833,77.8
2024-03-31 05:56:55.500000+00:00,14.57595167,121.046805,77.8
2024-03-31 05:56:56.500000+00:00,14.575955,121.046805,77.8
2024-03-31 05:56:58+00:00,14.57597,121.0468,77.8
2024-03-31 05:56:59+00:00,14.57597833,121.046795,77.8
2024-03-31 05:57:00+00:00,14.57599,121.04677667,77.8
2024-03-31 05:57:01+00:00,14.57602,121.04675333,77.7
2024-03-31 05:57:02+00:00,14.57603833,121.04671833,77.7
2024-03-31 05:57:03+00:00,14.57606,121.04668667,77.7
2024-03-31 05:57:04+00:00,14.576085,121.046665,77.7
2024-03-31 05:57:05+00:00,14.57609667,121.04664333,77.8
2024-03-31 05:57:06+00:00,14.57609,121.04660333,77.7
2024-03-31 05:57:07+00:00,14.576065,121.046555,77.7
2024-03-31 05:57:08+00:00,14.57607,121.04649167,77.7
2024-03-31 05:57:09+00:00,14.57608,121.04643667,77.7
2024-03-31 05:57:10+00:00,14.57608167,121.04638333,77.9
2024-03-31 05:57:11+00:00,14.57608,121.04632667,78.1
2024-03-31 05:57:12+00:00,14.57608,121.046265,78.1
2024-03-31 05:57:13+00:00,14.576085,121.04619833,77.9
2024-03-31 05:57:14+00:00,14.57610167,121.046135,77.7
2024-03-31 05:57:15+00:00,14.576115,121.04607,77.7
2024-03-31 05:57:16+00:00,14.57612667,121.04600167,77.8
2024-03-31 05:57:17+00:00,14.57613,121.04592667,77.8
2024-03-31 05:57:18+00:00,14.576135,121.04587333,77.8
2024-03-31 05:57:19+00:00,14.57614,121.04582833,77.4
2024-03-31 05:57:20+00:00,14.57614833,121.04578167,77.0
2024-03-31 05:57:21+00:00,14.57615667,121.045735,76.5
2024-03-31 05:57:22+00:00,14.57616667,121.04569167,76.4
2024-03-31 05:57:23+00:00,14.57619333,121.04565333,76.4
2024-03-31 05:57:24+00:00,14.57622,121.045615,76.7
2024-03-31 05:57:25+00:00,14.57624833,121.045575,76.6
2024-03-31 05:57:26+00:00,14.57627167,121.045535,76.0
2024-03-31 05:57:27+00:00,14.57629,121.04549667,74.7
2024-03-31 05:57:28+00:00,14.57631833,121.045465,73.2
2024-03-31 05:57:29+00:00,14.57634333,121.04542833,71.6
2024-03-31 05:57:30+00:00,14.57637167,121.04539333,70.2
2024-03-31 05:57:31+00:00,14.57641,121.04536,69.2
2024-03-31 05:57:32+00:00,14.57644833,121.045335,67.6
2024-03-31 05:57:33+00:00,14.57649333,121.045305,66.3
2024-03-31 05:57:34+00:00,14.57654167,121.04527333,65.3
2024-03-31 05:57:35+00:00,14.57660333,121.04524667,64.7
2024-03-31 05:57:36+00:00,14.57667,121.045215,64.0
2024-03-31 05:57:37+00:00,14.576735,121.04519167,62.6
2024-03-31 05:57:38+00:00,14.57680667,121.04517667,61.2
2024-03-31 05:57:39+00:00,14.57688167,121.04514667,60.5
2024-03-31 05:57:40+00:00,14.57695167,121.04511333,59.5
2024-03-31 05:57:41+00:00,14.577025,121.04507833,59.1
2024-03-31 05:57:42+00:00,14.577095,121.04504333,58.8
2024-03-31 05:57:43+00:00,14.57715833,121.045015,58.3
2024-03-31 05:57:44+00:00,14.57722667,121.04498833,57.6
2024-03-31 05:57:45+00:00,14.57729667,121.04495833,57.3
2024-03-31 05:57:46+00:00,14.57737667,121.04492833,57.5
2024-03-31 05:57:47+00:00,14.57744333,121.04489667,57.3
2024-03-31 05:57:48+00:00,14.57750833,121.044865,57.0
2024-03-31 05:57:49+00:00,14.57756333,121.044835,56.6
2024-03-31 05:57:50+00:00,14.57760167,121.04481667,56.0
2024-03-31 05:57:51+00:00,14.577645,121.04478,56.3
2024-03-31 05:57:52+00:00,14.57769667,121.04475833,57.3
2024-03-31 05:57:53+00:00,14.57775333,121.04473333,57.8
2024-03-31 05:57:54+00:00,14.57782,121.044705,59.2
2024-03-31 05:57:55+00:00,14.5779,121.044685,60.7
2024-03-31 05:57:56+00:00,14.57798333,121.04466,62.5
2024-03-31 05:57:57+00:00,14.57806667,121.04462833,64.0
2024-03-31 05:57:58+00:00,14.57814333,121.0446,65.5
2024-03-31 05:57:59+00:00,14.57821833,121.04456833,67.0
2024-03-31 05:58:00+00:00,14.57829333,121.04453333,67.5
2024-03-31 05:58:01+00:00,14.57835667,121.04450167,67.0
2024-03-31 05:58:02+00:00,14.57843833,121.04446667,67.6
2024-03-31 05:58:03+00:00,14.57851,121.04443667,67.6
